"","FattyAcid","D1m_PreD.pvalue","D1m_PreD.FC","D1m_NonD.pvalue","D1m_NonD.FC","D1m_Dexit.pvalue","D1m_Dexit.FC","D1m_D6d.pvalue","D1m_D6d.FC","D6d_PreD.pvalue","D6d_PreD.FC","D6d_NonD.pvalue","D6d_NonD.FC","D6d_Dexit.pvalue","D6d_Dexit.FC","NonD_PreD.pvalue","NonD_PreD.FC","NonD_Dexit.pvalue","NonD_Dexit.FC","PreDY_Dexit.pvalue","PreDY_Dexit.FC","NfurY_NfurO.pvalue","NfurY_NfurO.FC","Nfur_Ast.pvalue","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"PE_MediumChainFA","PE_MediumChainFA",2.50757723435693e-07,1.89354243153476,1.86451288007045e-06,1.91269389675011,1.14542273017216e-05,1.56910120294636,0.0150905050389251,0.413622828096777,0.00203946802013354,1.47991960343799,0.00164760298216342,1.49907106865333,0.00150725383933789,1.15547837484959,0.89199875080506,-0.0191514652153442,0.121475100045448,-0.343592693803742,0.127041044890172,-0.324441228588398,0.25466686340359,-0.302862369119317,0.19246577368059,0.249151734881108,1.48949533604566,1.90311816414243
"PE_PUFA_3","PE_PUFA_3",0.0266510468854282,-1.40729786433242,0.128991988783537,-0.959072481118898,0.00540037930107337,-0.894057696994861,0.955135594020393,0.0132271998225051,0.0314929101778388,-1.42052506415493,0.138677834302507,-0.972299680941403,0.000126882757264647,-0.907284896817366,0.285668462233965,-0.448225383213524,0.851039774249059,0.0650147841240369,0.16612536410954,0.513240167337561,0.0502332809505569,0.984785922726503,0.863666722688134,0.0481519791746282,-1.19641237254817,-1.18318517272566
"PE_PUFA_4","PE_PUFA_4",0.000428853731413668,0.449325217835796,0.000539574939780699,0.493147241794244,0.0261648868244413,0.136530347324992,3.98932582172933e-05,0.530626301116165,0.294248420932599,-0.0813010832803694,0.413449538519767,-0.0374790593219217,0.000344156942140412,-0.394095953791173,0.503949648632476,-0.0438220239584477,0.00220056917740074,-0.356616894469251,0.00327240313180485,-0.312794870510804,0.0111208603572215,0.339611370794191,0.000340252103690449,-0.830385756606029,-0.0593900713011456,0.47123622981502
"PE_PUFA_5","PE_PUFA_5",0.119271698246535,0.233547173611051,0.0313120374846209,0.303950059327618,0.0451486958096894,0.267067686462574,0.0364696970396611,0.315374217135158,0.577579269390057,-0.0818270435241066,0.912324737317572,-0.0114241578075397,0.633562372425496,-0.0483065306725845,0.574838232806184,-0.070402885716567,0.508319766078093,-0.0368823728650448,0.77953963969403,0.033520512851522,0.602428754029864,0.0653616314771813,0.0526902482792936,-0.288792128974486,-0.0466256006658231,0.268748616469335
"PG_PUFA_6","PG_PUFA_6",0.431374154194548,-0.20936169199165,0.811918721091932,-0.0381710751367613,0.217803418299276,0.251679695287603,0.068805843432154,-0.366752137019115,0.473184923196431,0.157390445027465,0.0409538102637506,0.328581061882354,0.00886477614842181,0.618431832306719,0.457039317281736,-0.171190616854889,0.000103863358901674,0.289850770424365,0.128144527452306,0.461041387279253,0.0246033934917591,-0.586034779551366,0.000393993426324468,-1.28200596162369,0.242985753454909,-0.123766383564206
"PI_EtherLinked","PI_EtherLinked",0.00135117200979786,-0.897803411829046,0.0137744855279776,-0.724691865312062,0.0904651931738066,-0.29505999433799,0.0652898911065608,-0.339417436044939,0.0133053838640504,-0.558385975784108,0.088426089918973,-0.385274429267123,0.448762730680512,0.0443574417069487,0.275771690291335,-0.173111546516985,0.0636758969505365,0.429631870974071,0.00772321201502644,0.602743417491056,0.968874121151121,-0.00645383685828408,0.0177265587041575,-0.341614963810973,-0.471830202525615,-0.811247638570554
"PI_PUFA_3","PI_PUFA_3",0.0070281435298387,-6.22769005422304,0.0676777463764126,-5.32252296472264,0.000140070291644903,-4.89546225949664,0.300809107577978,0.723365631271238,0.00691754308093337,-6.95105568549428,0.0664379433737014,-6.04588859599388,0.000118374633041849,-5.61882789076788,0.0750826483932348,-0.905167089500399,0.439630679574397,0.427060705225996,0.0264210833660428,1.3322277947264,0.00635063757394372,2.26490659277494,0.17657823888251,-0.409938928161008,-6.49847214074408,-5.77510650947284
"PS_EtherLinked","PS_EtherLinked",0.0188781813301986,1.11081136660941,0.03944206478711,0.805721870169915,0.0237933075513006,1.09651093879204,0.288076784001724,0.283395134193084,0.00843382093741556,0.827416232416327,0.0389821991329321,0.522326735976831,0.0105939019966032,0.81311580459896,0.217662204109785,0.305089496439496,0.181161697328632,0.29078906862213,0.943930924820638,-0.0143004278173668,0.0187929176448907,-0.57067658121478,0.000933268784085823,-1.45994645347509,0.674871484196579,0.958266618389662
"PS_LongChainFA","PS_LongChainFA",0.0442374617900288,0.734568221611488,0.0509332897646519,0.709816761116117,0.0367594964208501,0.865525172611863,0.219358396708413,0.317998057361671,0.0276103307015075,0.416570164249817,0.013309325876095,0.391818703754446,0.000724187656920544,0.547527115250191,0.882197354769287,0.0247514604953709,0.223295915393444,0.155708411495745,0.431122591327843,0.130956951000374,0.0349619479231231,-0.396836222903016,0.43292507810731,-0.14039678537043,0.404194434002132,0.722192491363802
"PS_MediumChainFA","PS_MediumChainFA",0.187685663979802,0.81896571810863,0.210017245208952,0.749076545996295,0.101356623204725,1.29879979930163,0.565425663487557,0.264367648733893,0.0367704154182018,0.554598069374736,0.0332274006611056,0.484708897262402,0.00461861054816396,1.03443215056774,0.741296860285941,0.0698891721123347,0.0122675512366027,0.549723253305336,0.107456039041299,0.479834081193001,0.122347066562626,-0.361091642480072,0.453555636170345,-0.269157304277406,0.519653483318569,0.784021132052462
