class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
MG_MUFA	27.9213561469821	36.0987047462151	30.8201450471305	38.3034503139878	11.3726130187072	11.6710198076549	9.93761913039168	0.00187502473103515	0.00457967212798298	1.59822812331797
MG_PUFA	186.618947000376	226.343302836337	162.560531777084	235.963071970781	78.001247814809	78.9254309571857	67.6986796869528	0.00398781694432992	0.00819119156132633	1.43800763959622
MG_PUFA_2	186.618947000376	226.343302836337	162.560531777084	235.963071970781	78.001247814809	78.9254309571857	67.6986796869528	0.00398781694432992	0.00819119156132633	1.43800763959622
MG_SFA	316.73546505055	373.015171264493	293.223569852972	357.414025793677	129.184822690272	119.371168737908	116.005521856316	0.000954351408932034	0.00278964257995518	1.46337925679819
TG_LongChainFA	13.7636912009415	13.9137110752675	10.6695192615076	15.6190802064336	3.36787324774128	3.73132967570399	3.3902268925136	0.00213076814378995	0.00483398146053839	1.94807704691126
TG_MUFA	6.7430044920826	6.89082331733219	5.27353096829675	7.72140495277667	1.62013836958713	1.79654164515282	1.63349356344389	0.00209250372708778	0.00483398146053839	1.98354307180762
TG_MediumChainFA	0.0192344753920333	0.0187238075271412	0.036092832425082	0.017491831832513	0.00653227997920682	0.00470365316020936	0.00713250058863526	0.0303631288805716	0.0448077241732708	1.90218262677832
TG_PUFA	6.98495564900675	7.38820012021526	5.12519535694107	8.22060534885187	1.72819886068718	1.89387729975888	1.77030825839841	0.00417504137701768	0.00846141719075584	1.94684019273504
TG_PUFA_2	0.312198418966205	0.309000195356248	0.263239970848231	0.350446979389812	0.0753143586134721	0.0861472770753981	0.0779334118843944	0.000777587547128683	0.0024121083094604	1.95187464351769
TG_PUFA_3	0.916142009600091	0.979185734746094	0.826234584589926	1.09613513879492	0.252225980507054	0.246355477951163	0.214881563577379	0.000764254493190832	0.0024121083094604	2.00475471853145
TG_PUFA_4	0.44389335840456	0.475505999914322	0.339419885645999	0.542198840835653	0.11289304294475	0.117590387590179	0.101347739114514	0.00372846586964935	0.00787120572481529	2.02525385539484
TG_PUFA_5	1.85535015835484	1.92423047196343	1.27873976763734	2.20883868842051	0.417148836146042	0.479981672155665	0.461542755100123	0.00572932170813641	0.0106943787336346	2.00415543414027
TG_PUFA_6	3.45737170368105	3.70027771823517	2.41756114821957	4.02298570141099	0.870616642475865	0.963802484986476	0.914602788722003	0.00545784626844217	0.0103699079100401	1.89138748536968
TG_SFA	5.06375068192057	4.97748652923315	3.82645083611156	5.56827905928309	1.24038906355345	1.40347539712152	1.28543951591258	0.00210494222752113	0.00483398146053839	1.89134571048965
TG_VeryLongChainFA	5.00878514667642	5.32407508398597	3.51956506741674	5.87371732264553	1.21432076610728	1.35786101316902	1.29188194465265	0.00525149075748144	0.0101041341156605	1.93688057872999
PI_EtherLinked	0.0223919614103955	0.0221637206053683	0.0321646324730488	0.0238498527824967	0.0477183515664244	0.0373822397608215	0.0395471533361524	0.0137744855279776	0.0230079318709076	-0.724691865312062
PI_LongChainFA	2.01985177411103	2.20303018454375	2.23710200749848	2.2090663840348	1.7189732308022	1.74037269671885	1.80875450009944	0.00124323013419931	0.00328819599701429	0.303553614562277
PI_MUFA	0.0275704688451373	0.0317068958053456	0.025537835429468	0.0357272866212983	0.0701711367396416	0.0595361392418292	0.0670206240516664	0.000897958395065583	0.00267626815784252	-1.12169734308927
PI_PUFA	1.18148423662578	1.29736409379712	1.2552499719208	1.307360518511	1.21935078771581	1.22046674365681	1.26062014875047	0.441786200121042	0.472897904354918	0.0311078402350277
PI_PUFA_2	0.000385046587250184	0.000433961233387062	0.00023531508672193	0.000512287912313362	0.00270260282372622	0.00261443344211045	0.00255879194903979	7.59714561899623e-07	7.4829974250505e-05	-2.74482231586742
PI_PUFA_3	3.51288066899205e-05	2.48552621724232e-05	1.64479452036356e-05	4.9514649827741e-05	0.00192978855137727	0.000858225338282411	0.000991944304907635	0.0676777463764126	0.0902369951685501	-5.32252296472264
PI_PUFA_4	0.748987728224328	0.80800001438567	0.896229629657255	0.800687527020493	0.388899698175982	0.411982884027418	0.429258493867578	0.000323279371584156	0.00167139042244893	0.988310809801258
PI_PUFA_5	0.196000642038792	0.218124325713768	0.170505126934473	0.220838191070192	0.179656477408858	0.185207479044067	0.195462812885142	0.312513644575962	0.339300528396759	0.108521868305918
PI_PUFA_6	0.236075690968721	0.270780937202125	0.188263452297145	0.285272997858178	0.646162220755865	0.619803721804934	0.6323481057438	0.000119760426113046	0.00101131026495461	-1.36832398040268
PI_SFA	1.15538615096696	1.27112751416309	1.2207125275136	1.27907759516114	1.14557149466473	1.15778304286982	1.19488290058951	0.105203300447786	0.132156212132756	0.0788398836703465
PI_VeryLongChainFA	0.366981043737242	0.419332039827177	0.296562959838439	0.436948869041131	0.763838539884401	0.734795468810425	0.753316326628352	0.000775281395235191	0.0024121083094604	-0.9823073785104
