class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
DG_PUFA_6	0.135288410947	0.122690646954291	0.162118904593996	0.17910073129619	0.310420437494798	0.285430651293667	0.235319435403526	0.311862753521516	0.00119046222199855	0.00301583762906298	-0.931761022138785
DG_SFA	34.7396577470412	34.0625380199558	43.4239974400163	39.3629738024207	10.7807440854201	13.3747244401417	7.41105170121995	12.675626218	0.000142876139218273	0.000635871291422405	1.77667337218398
DG_VeryLongChainFA	0.230805817308413	0.206113158593458	0.249717881638628	0.292907501417795	0.338198377676036	0.324326844622664	0.25504388429542	0.346826482746842	0.04333102127346	0.0531154454319832	-0.368265175773394
PC_EtherLinked	0.303351590621882	0.319977703133927	0.287820768207704	0.316728776415688	0.401943254848518	0.426804326028432	0.403118904316115	0.429017591535553	4.54219093398123e-05	0.000313824100893249	-0.43578317328847
PC_LongChainFA	21.0758660466167	22.3817279811725	20.2394511876097	22.264045792345	18.8163982805228	20.2443573759327	18.4180765910563	20.2539101525158	0.0260582019083205	0.0348605036719573	0.145161378180818
PC_MUFA	10.5106934819173	11.1555695193974	10.0859127669909	11.1260568223703	8.89013773633126	9.54698308601781	8.60167923076409	9.57582759575204	0.00452214330433448	0.00806152875104442	0.227825315709276
PC_MediumChainFA	0.478490419354795	0.500344829706071	0.429584726710345	0.491740642917487	0.591574616264034	0.587013295607612	0.585770185085981	0.571258157386102	0.00439595155846545	0.00795457901055652	-0.297681883192177
PC_PUFA	5.51741939080172	5.75341036060936	4.99199584344622	5.67247286843924	5.72506382975166	5.87547024018063	5.48488333249831	5.84338524842371	0.259607022385403	0.272139775190216	-0.0639066823417163
PC_PUFA_2	0.358703758336466	0.367316979660339	0.409134086193115	0.373604369855552	0.338412685418782	0.359829525087977	0.336971267407734	0.352169063196376	0.0645522159852985	0.0749002811432471	0.120996927607625
PC_PUFA_3	0.0662622554790218	0.0647367746410294	0.0796604800680301	0.0664528822822745	0.0950303428722915	0.0864331997141078	0.092624847787598	0.0861242609758941	0.00378724847494381	0.0071069354097711	-0.378377622707765
PC_PUFA_4	1.02737170932976	1.07190396245279	0.990428865116677	1.05605959170651	1.03646500849998	1.07430667789466	1.00712469381985	1.03360206435993	0.951632676831298	0.951632676831298	-0.00199412045962727
PC_PUFA_5	1.8606753663899	1.95470667495916	1.59113068489278	1.9164025536652	1.92817729094467	1.99442599594175	1.79875443161583	2.01361465553796	0.331018066446515	0.339964500674799	-0.0789780338593348
PC_PUFA_6	2.20440630126656	2.29474596889605	1.92164172717562	2.25995347092971	2.32697850201593	2.36047484154213	2.24940809186731	2.35787520435355	0.167782904360414	0.180872350799879	-0.0985947145596759
PC_SFA	8.81814091074756	9.44007078948561	8.51577259122906	9.34296466153625	7.84207522600138	8.50109822860296	7.81883153630682	8.45176183381145	0.0234364301095272	0.0323848852422557	0.147194944500506
PC_ShortChainFA	2.47929236298981e-05	1.48755582199734e-05	1.96220830265017e-05	1.58066322115386e-05	3.4402322672766e-05	2.85541354988481e-05	2.7292502787519e-05	3.97228736142546e-05	0.010338711195248	0.0162008670276051	-0.791368052215857
PC_VeryLongChainFA	3.59298361068492	3.78485396737346	3.20933550886381	3.70025904366186	3.4496054727308	3.51757155369524	3.30291977301996	3.47335932825553	0.374625404170781	0.382168197543348	0.05600179455484
MG_LongChainFA	531.275768197908	635.457178847045	486.604246677187	631.680548078445	165.511049866439	226.649178841692	145.808521770598	283.763834026507	0.00032351300858205	0.00100355055723412	1.47546448619366
MG_MUFA	27.9213561469821	36.0987047462151	30.8201450471305	38.3034503139878	9.64629400452548	13.129376240207	8.04820975473151	16.1707945322835	0.000492323761282499	0.00146731787676353	1.5024145077327
MG_PUFA	186.618947000376	226.343302836337	162.560531777084	235.963071970781	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.00137964414547463	0.00331216290091702	1.48662033835934
MG_PUFA_2	186.618947000376	226.343302836337	162.560531777084	235.963071970781	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.00137964414547463	0.00331216290091702	1.48662033835934
MG_SFA	316.73546505055	373.015171264493	293.223569852972	357.414025793677	96.2577292155608	136.161549024828	84.0128398893335	168.729075394646	0.000202714771272711	0.000810859085090843	1.4661148617891
TG_LongChainFA	13.7636912009415	13.9137110752675	10.6695192615076	15.6190802064336	3.36858188192204	4.42507391878336	3.86302226666326	4.58565973932066	0.00176646006645765	0.00394855779561123	1.73229150553138
TG_MUFA	6.7430044920826	6.89082331733219	5.27353096829675	7.72140495277667	1.62302447675189	2.14110073013792	1.88865352311869	2.25911682128354	0.00169788621744058	0.00391028340986315	1.75089016577656
TG_MediumChainFA	0.0192344753920333	0.0187238075271412	0.036092832425082	0.017491831832513	0.00650711999920932	0.00665469773681438	0.00341888341740597	0.00679033343456097	0.028654520973481	0.0366007326720093	1.96972713879144
TG_PUFA	6.98495564900675	7.38820012021526	5.12519535694107	8.22060534885187	1.65093155769755	2.22146571423854	1.95563541490806	2.34434983645318	0.00374104752120746	0.0071069354097711	1.76204430716552
TG_PUFA_2	0.312198418966205	0.309000195356248	0.263239970848231	0.350446979389812	0.0819951329554397	0.109444908968136	0.0947953662098693	0.108540146432055	0.000512162402367012	0.00149709009922665	1.64527279250778
TG_PUFA_3	0.916142009600091	0.979185734746094	0.826234584589926	1.09613513879492	0.249740548881249	0.319930732205223	0.304139966362547	0.325273045880057	0.000709800392271539	0.00196163017500498	1.67076970032882
TG_PUFA_4	0.44389335840456	0.475505999914322	0.339419885645999	0.542198840835653	0.104303953404098	0.133422264983984	0.133322204247582	0.147555624993487	0.0037201492352124	0.0071069354097711	1.79610729666828
TG_PUFA_5	1.85535015835484	1.92423047196343	1.27873976763734	2.20883868842051	0.397933283013385	0.546001550088364	0.470558477059915	0.596597510329639	0.00530055656779538	0.0089223658017734	1.85341325394592
TG_PUFA_6	3.45737170368105	3.70027771823517	2.41756114821957	4.02298570141099	0.816958639443375	1.11266625799283	0.952819401028144	1.16638350881794	0.00492639567579873	0.0084136195811394	1.74783910532633
TG_SFA	5.06375068192057	4.97748652923315	3.82645083611156	5.56827905928309	1.25528884072724	1.64184330812136	1.36751260966522	1.65485028816712	0.00173664868278287	0.00393985969825367	1.71518287659249
TG_VeryLongChainFA	5.00878514667642	5.32407508398597	3.51956506741674	5.87371732264553	1.15415587325542	1.57268113597765	1.3453603976113	1.66586687314861	0.00476826644075583	0.00823609657948734	1.78147283466088
PI_EtherLinked	0.0223919614103955	0.0221637206053683	0.0321646324730488	0.0238498527824967	0.0310870844035952	0.0320601563373206	0.0277478413343992	0.0324980764959942	0.0904651931738066	0.0996428214668015	-0.29505999433799
PI_LongChainFA	2.01985177411103	2.20303018454375	2.23710200749848	2.2090663840348	1.62657781105142	1.70472740964737	1.61490807444061	1.73260637899897	0.000406858462640447	0.00123684972642696	0.376280799821637
PI_MUFA	0.0275704688451373	0.0317068958053456	0.025537835429468	0.0357272866212983	0.0561961810556985	0.0601898596625835	0.0679768116778904	0.063897584251735	8.67826932247929e-05	0.000474689250351458	-1.04231263671411
PI_PUFA	1.18148423662578	1.29736409379712	1.2552499719208	1.307360518511	1.08364870260302	1.13893795758419	1.09415320002621	1.16282680325683	0.00864737665528538	0.0138358026484566	0.170482081227476
PI_PUFA_2	0.000385046587250184	0.000433961233387062	0.00023531508672193	0.000512287912313362	0.0019227308383274	0.00174366587755843	0.00228849600351497	0.00199404979633523	0.000117331486868793	0.000575302774324404	-2.34311611745018
PI_PUFA_3	3.51288066899205e-05	2.48552621724232e-05	1.64479452036356e-05	4.9514649827741e-05	0.00105524784658737	0.000868961890916632	0.000917751819309887	0.000906625929202216	0.000140070291644903	0.000635871291422405	-4.89546225949664
PI_PUFA_4	0.748987728224328	0.80800001438567	0.896229629657255	0.800687527020493	0.454437513413721	0.474196816538589	0.427965265036653	0.475639117917126	0.000533422017210032	0.00152981408709292	0.828564609539878
PI_PUFA_5	0.196000642038792	0.218124325713768	0.170505126934473	0.220838191070192	0.149773663893157	0.160407109766151	0.138803070929069	0.160551458482771	0.0175178599916866	0.0251199501767581	0.402118004561478
PI_PUFA_6	0.236075690968721	0.270780937202125	0.188263452297145	0.285272997858178	0.476459546611229	0.501721403510979	0.52417861623766	0.5237355511314	0.000215422803768015	0.000839596568531749	-1.04726970101528
PI_SFA	1.15538615096696	1.27112751416309	1.2207125275136	1.27907759516114	1.03243940933711	1.08705444475761	1.04497519160036	1.10941736162852	0.00456112810914355	0.00806152875104442	0.204957032390548
PI_VeryLongChainFA	0.366981043737242	0.419332039827177	0.296562959838439	0.436948869041131	0.576793566348007	0.613515008694345	0.619944970198247	0.636033446634114	0.00257737380331059	0.0054411224736557	-0.686688535698267
PS_EtherLinked	0.661184777309043	0.440717010302188	0.438960680919824	0.376066732203032	0.239861852095595	0.246251205976652	0.185396343254594	0.224935063399195	0.0237933075513006	0.032581826556736	1.09651093879204
PS_LongChainFA	32.878868065878	22.1501137580758	21.3258994072256	19.2862684632927	13.878198901551	13.8511695177724	11.8693565902827	12.8935927489129	0.0367594964208501	0.0454263695607253	0.865525172611863
PS_MUFA	1.69948276856812	1.24640519028181	1.31355408547195	1.18681625206974	0.941856838441366	0.963054381816884	0.833135489647141	0.906723029131012	0.0264756784535747	0.0348605036719573	0.579437731698875
PS_MediumChainFA	0.0286802550651236	0.0131696848305023	0.0144357655408885	0.00960443250942983	0.0079843705638811	0.00634977790566591	0.0057945028910191	0.00665333094810159	0.101356623204725	0.110836019619556	1.29879979930163
PS_PUFA	7.52008871733729	6.08920013157261	6.0610498784651	5.7012480942153	5.15024929544736	5.29474925844086	4.74509628400892	5.15132682567582	0.04712884037478	0.0561206679773957	0.31879324027564
PS_PUFA_2	0.646318204908738	0.462699824794154	0.450871518078501	0.397976288583912	0.307675116063714	0.32753274480182	0.20830466522772	0.305962984270852	0.0249369131533521	0.0338429535652636	0.768306177313694
PS_PUFA_3	1.06468288509538	0.863529015517417	0.87816623863918	0.796310004629762	0.530909739917115	0.566268893404483	0.389605216238049	0.541410814274031	0.00198325565339426	0.00430649799022754	0.828877647282668
PS_PUFA_4	0.162200320100071	0.13256382528164	0.14382042694558	0.125053604416102	0.117515397087966	0.117516587743563	0.0974483240867983	0.113299802511126	0.0266040685917569	0.0348605036719573	0.338437080707428
PS_PUFA_5	0.767289740448751	0.687703237396615	0.661757234247923	0.691658195440281	0.484434469927916	0.502348198551971	0.449488966671439	0.485466809058961	0.000629334326271037	0.00177145958505922	0.547340758841626
PS_PUFA_6	4.87959756678435	3.94270422858279	3.92643446055392	3.69025000114525	3.70971457245065	3.78108283393902	3.60024911178491	3.70518641556085	0.216379674694549	0.229903608204791	0.151891417316572
PS_SFA	34.2356950774857	22.5655954233568	21.813738205499	19.4659667822904	13.3016256311293	13.221522018044	11.3770422848276	12.1964418078791	0.0346854280505835	0.0435717773858569	0.969260015204373
PS_VeryLongChainFA	10.6300364880431	7.78918113561429	7.8974297224695	7.10271478047851	5.54818659474637	5.6641381657622	5.12890512467497	5.39496472205147	0.0316085731991121	0.0400375260522087	0.620584809642915
LIPID_CLASS_Cer	6.1598484447253	6.03517724846026	4.59874706500895	6.12137656552501	1.40137959126679	1.91886836196901	1.01277965834675	1.84545686352027	0.000278144909663458	0.000960864233382854	1.8909767799521
LIPID_CLASS_ChE	0.00537991479835933	0.00193621974940883	0.000907563520766005	0.00679509876267778	0.00620526247434229	0.00846743052351766	0.0156222129916193	0.00789985245074559	0.0662056295309413	0.0756635766067901	-1.34660542535328
LIPID_CLASS_DG	17.5786982779994	17.216841306027	21.9629221177148	19.9386212244842	5.76814858218587	7.04045126732369	3.98656395683253	6.71104157347307	0.000154784459096243	0.000635871291422405	1.70613004504143
LIPID_CLASS_Hex1Cer	0.394498672843619	0.514804551529042	0.667034618340246	0.604602581919227	0.264780027517242	0.284390399848947	0.217817165916967	0.281390724185343	0.0142846143013718	0.0208775132096973	1.05679094002209
LIPID_CLASS_LPC	0.108237653588405	0.122685954498551	0.125480455261869	0.12575147984919	0.0411227263524186	0.0525968129981035	0.0483429450555747	0.0537305513835932	1.98850059006175e-05	0.000201501393126258	1.30016918414139
LIPID_CLASS_LPE	0.135048770379311	0.138839740861302	0.142300496662651	0.14548607719812	0.060059644607393	0.0631042054335467	0.0584805809013528	0.0766932680329273	3.12199087328141e-05	0.000249759269862513	1.1204776190366
LIPID_CLASS_MG	531.275768197908	635.457178847045	486.604246677187	631.680548078445	165.511049866439	226.649178841692	145.808521770598	283.763834026507	0.00032351300858205	0.00100355055723412	1.47546448619366
LIPID_CLASS_PC	12.5736824347901	13.3334708269051	11.9391955226335	13.2280306427783	11.4288063859201	12.1744853896855	11.1533969208325	12.1492836805155	0.0472595098757016	0.0561206679773957	0.122828141919468
LIPID_CLASS_PE	4.44530192557489	4.99294864903385	4.38016399702181	4.89015019729611	5.53990922318537	5.77303521448181	5.39576725305666	5.86061205024137	0.00304254995589645	0.00616623457728348	-0.270664304584455
LIPID_CLASS_PG	0.481912934259124	0.506322718525237	0.54992598804257	0.45086936552793	0.127819903431681	0.167565671424096	0.0919873608609114	0.15858549215365	1.46676366289044e-05	0.000159248626256676	1.86520275995351
LIPID_CLASS_PI	1.19341640892414	1.31118111218546	1.26683248366846	1.32300762653797	1.10168568869971	1.15912120917086	1.11742652231943	1.18431991281654	0.0119358499622737	0.0177867568065255	0.159081474796661
LIPID_CLASS_PS	21.7687924044931	14.9762322892603	14.618882447618	13.1992938381403	9.71718493343064	9.76082873072011	8.50202810892433	9.14760540095622	0.0356114561232972	0.0443683715634522	0.798218215099436
LIPID_CLASS_SM	2.1057191871476	2.28488258132403	2.39438683410321	2.28475744075054	0.830567826425814	0.946067335064993	0.957021680435637	0.962680228839665	1.37533558237141e-05	0.000159248626256676	1.29496583244433
LIPID_CLASS_TG	6.26390360766997	6.41883665559354	4.74172572044979	7.17009645363721	1.50974829172556	2.00146991749927	1.73726718256399	2.08610564863461	0.00235450290987195	0.00504062594789487	1.74555095629035
Hex1Cer_DLinked	0.394498672843619	0.514804551529042	0.667034618340246	0.604602581919227	0.264780027517242	0.284390399848947	0.217817165916967	0.281390724185343	0.0142846143013718	0.0208775132096973	1.05679094002209
Hex1Cer_LongChainFA	0.417687854048976	0.540654192963979	0.698568501837578	0.633095425887305	0.303027418804991	0.324989010168245	0.263424146336288	0.321984778134289	0.0187177194893267	0.0265896575923146	0.916266001760751
Hex1Cer_MUFA	0.0856946374068879	0.15160182090665	0.195356860537704	0.188354586305746	0.0897920000972201	0.0927408429519502	0.0799023991745807	0.0963237606713385	0.0781284233939961	0.0873200026168191	0.791596597411969
Hex1Cer_PUFA	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.0107376357000759	0.0163077481363756	1.22991037005098
Hex1Cer_PUFA_6	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.0107376357000759	0.0163077481363756	1.22991037005098
Hex1Cer_SFA	0.331993216642088	0.389052372057329	0.503211641299875	0.444740839581559	0.213235418707771	0.232248167216295	0.183521747161708	0.22566101746295	0.00860566484150754	0.0138358026484566	0.965549058410239
Hex1Cer_VeryLongChainFA	0.371309491638261	0.488954910094105	0.635500734842914	0.57610973795115	0.226532636229492	0.243791789529649	0.172210185497646	0.240796670236398	0.0107376357000759	0.0163077481363756	1.22991037005098
Cer_DLinked	5.74799208683175	5.67898372512513	4.35103731328512	5.82234632241675	1.33880984568824	1.8287295308747	0.963469615873066	1.76302932083854	0.000250570706923749	0.000928945059814876	1.87372697659608
Cer_LongChainFA	6.1927089751061	6.06923167840341	4.63127258655978	6.15558561189119	1.40849986495613	1.92931348804821	1.01866895737391	1.85630117577286	0.000268917442154475	0.000960864233382854	1.89137988634174
Cer_MUFA	0.0686284873244248	0.0709843088084736	0.0546504925789963	0.0753782430662154	0.0652797450070926	0.0809481440574408	0.063391931434638	0.0782143614623349	0.498455378394374	0.505101450106299	-0.0941952045416195
Cer_PUFA	0.0216387520213377	0.0185583614217264	0.0141210902364428	0.02376604172093	0.00535536286977656	0.00690766379631619	0.00310917249075814	0.00655466215384418	0.00348861023641947	0.00688660721994492	1.83233217935826
Cer_PUFA_3	0.0216387520213377	0.0185583614217264	0.0141210902364428	0.02376604172093	0.00535536286977656	0.00690766379631619	0.00310917249075814	0.00655466215384418	0.00348861023641947	0.00688660721994492	1.83233217935826
Cer_SFA	12.2249913406219	11.9765694820069	9.12429874154993	12.1394427449074	2.73058459872446	3.74827686762348	1.9570103137197	3.60459432436389	0.000272229285715214	0.000960864233382854	1.91687470362209
Cer_TLinked	0.411856357893553	0.356193523335126	0.247709751723828	0.299030243108261	0.062569745578552	0.0901388310943035	0.049310042473687	0.082427542681725	0.0038506048532826	0.00713770655730434	2.20860473347501
Cer_VeryLongChainFA	6.12698791434451	6.00112281851711	4.56622154345812	6.08716751915884	1.39425931757745	1.90842323588981	1.0068903593196	1.83461255126767	0.000287721155940516	0.00097185812673241	1.89056905843996
