class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PS_PUFA	5.97969534103717	6.6476558308192	6.00472804661289	5.68282434154113	5.15024929544736	5.29474925844086	4.74509628400892	5.15132682567582	0.00897275899995318	0.0158588298603824	0.257420356649331
PS_PUFA_2	0.347516302983646	0.450347870578976	0.383744219231015	0.3300147544934	0.307675116063714	0.32753274480182	0.20830466522772	0.305962984270852	0.0535238608218621	0.0740012073255209	0.395122785989463
PS_PUFA_3	0.77767462279213	0.933762607718234	0.794943945876104	0.738042257791941	0.530909739917115	0.566268893404483	0.389605216238049	0.541410814274031	0.00201498823209709	0.00546925377283495	0.677765992735576
PS_PUFA_4	0.127286579401179	0.163072237905762	0.145511507414554	0.126508283060895	0.117515397087966	0.117516587743563	0.0974483240867983	0.113299802511126	0.0350656398200464	0.0519521737859881	0.335209465139702
PS_PUFA_5	0.678949522569611	0.656385834667535	0.557868069225068	0.636128186126633	0.484434469927916	0.502348198551971	0.449488966671439	0.485466809058961	0.00586791211047511	0.0120530086593543	0.396344203258209
PS_PUFA_6	4.04826831329061	4.44408727994868	4.12266030486615	3.85213086006826	3.70971457245065	3.78108283393902	3.60024911178491	3.70518641556085	0.0374615258826472	0.0547514609054074	0.154360684987476
PS_SFA	18.5629579465014	20.9850405928509	18.7030618582756	17.3846364055834	13.3016256311293	13.221522018044	11.3770422848276	12.1964418078791	0.00081247851018305	0.00301211545238594	0.594353678561796
PS_VeryLongChainFA	6.80772263388984	7.69428920559297	6.90602117093929	6.34605058638242	5.54818659474637	5.6641381657622	5.12890512467497	5.39496472205147	0.00768976369504089	0.0140824588150146	0.352600670616727
LIPID_CLASS_Cer	7.25294275816149	6.45938140928023	3.80225977009285	5.99802514023995	1.40137959126679	1.91886836196901	1.01277965834675	1.84545686352027	0.00727775178083483	0.0136962501684712	1.92810972966343
LIPID_CLASS_ChE	0.0039474673518277	0.00693689102010184	0.00729512127889138	0.0122881679731757	0.00620526247434229	0.00846743052351766	0.0156222129916193	0.00789985245074559	0.502827267553968	0.530762115751411	-0.326096551977271
LIPID_CLASS_DG	22.5457272936133	33.111033530758	18.3791550323743	20.507875573387	5.76814858218587	7.04045126732369	3.98656395683253	6.71104157347307	0.0104791523465841	0.017695308829491	2.00794105864627
LIPID_CLASS_Hex1Cer	0.526082551156763	0.650146613801597	0.598101937354212	0.532758125162067	0.264780027517242	0.284390399848947	0.217817165916967	0.281390724185343	0.000369178608737753	0.00181016608155286	1.13791438052171
LIPID_CLASS_LPC	0.135059604249009	0.129408625391491	0.120469092040988	0.141632013017557	0.0411227263524186	0.0525968129981035	0.0483429450555747	0.0537305513835932	1.73939429185305e-05	0.000735425453462333	1.42729405673479
LIPID_CLASS_LPE	0.271044562323569	0.138370772995961	0.153746879905402	0.15050453071901	0.060059644607393	0.0631042054335467	0.0584805809013528	0.0766932680329273	0.0338798082191734	0.0509874341516273	1.46599236021387
LIPID_CLASS_MG	611.250716948116	437.556835065208	430.002828992397	620.289519167468	165.511049866439	226.649178841692	145.808521770598	283.763834026507	0.00365047304918083	0.00854975633174517	1.35302994807615
LIPID_CLASS_PC	13.3977417513865	13.1033018257245	12.8315188734833	13.378569149766	11.4288063859201	12.1744853896855	11.1533969208325	12.1492836805155	0.00545830717623804	0.0115230929276136	0.16833603625755
LIPID_CLASS_PE	4.96149047045485	5.0329333828295	4.62195349271832	4.65807278798575	5.53990922318537	5.77303521448181	5.39576725305666	5.86061205024137	0.00148300659369849	0.00467556293019099	-0.227673487599613
LIPID_CLASS_PG	0.459762663152524	0.434261658016449	0.375234489075757	0.474370104165331	0.127819903431681	0.167565671424096	0.0919873608609114	0.15858549215365	5.41473121698688e-05	0.000955240764521594	1.6752300269637
LIPID_CLASS_PI	1.17230594005314	1.16010673212801	1.1047404245642	1.13623886175991	1.10168568869971	1.15912120917086	1.11742652231943	1.18431991281654	0.914323953622679	0.920379079143359	0.0034231462852021
LIPID_CLASS_PS	12.8287858700571	14.4397466040246	12.9266951882423	12.0700591612936	9.71718493343064	9.76082873072011	8.50202810892433	9.14760540095622	0.00135156465882116	0.00437101762001738	0.493359173203703
LIPID_CLASS_SM	1.9711934974736	2.01068386675352	1.71686223000818	2.01234529900644	0.830567826425814	0.946067335064993	0.957021680435637	0.962680228839665	0.000169692879706173	0.00112730043689793	1.06083752824824
LIPID_CLASS_TG	9.9604564654457	3.01707319334385	8.79808878208956	15.4305395466579	1.50974829172556	2.00146991749927	1.73726718256399	2.08610564863461	0.0606042453722829	0.0801030025790173	2.34275298944415
Hex1Cer_DLinked	0.526082551156763	0.650146613801597	0.598101937354212	0.532758125162067	0.264780027517242	0.284390399848947	0.217817165916967	0.281390724185343	0.000369178608737753	0.00181016608155286	1.13791438052171
