m.z	class	FattyAcid	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
766.5759	PC	(16:1e/20:4)	0.0752395963186509	0.0570485479325419	0.0514305065955152	0.0784603880153603	0.0393044423448433	0.0573403184262535	0.055732325290107	0.154954372472488	0.180014378802271	0.367868876187631
718.5403	PC	(15:0/16:1)	0.0316065075709508	0.0335736509708605	0.0354641497865609	0.0339262928562173	0.0511390124706514	0.0453265344096182	0.0442432751652812	0.0156166817162513	0.0331566000970656	-0.479387015974453
692.5611	PC	(14:0e/16:0)	0.00587030355970579	0.00726530132893588	0.00586115362570767	0.0060672682258642	0.00353684424608839	0.00501183138644447	0.00468478848451491	0.0290845959196952	0.0533423865591005	0.506389950132655
726.5098	PC	(12:0/20:4)	0.00275109034591659	0.00185263534684244	0.00174781079996102	0.00320355009719847	0.00346912155565462	0.00329086940934269	0.00326885775238534	0.0713474883352293	0.0988770658279223	-0.484852645209121
892.6799	PC	(24:1/20:4)	0.00204104187284536	0.00125484487845147	0.00177680346002656	0.00319286044802816	0.000608634638698102	0.000543708447146434	0.000521662570307485	0.0343789538669842	0.0602275977398433	1.88876903475124
742.5406	PC	(15:0/18:3)	0.00892154668481805	0.0106334738348914	0.0103346730065284	0.00841530799220998	0.0130102054049175	0.0103945367625413	0.0101323854989642	0.220068741429602	0.250262869541315	-0.22326385342807
702.5443	PC	(16:2e/15:0)	0.00102371034584363	0.00111440704823749	0.000812420046605092	0.000993837836809425	0.00050129166886229	0.000456287471658406	0.000452495325427864	0.00276559265829859	0.00896218372726837	1.06898796722111
890.6667	PC	(22:0/22:6)	0.00515981960076419	0.00381103829742848	0.0042817588088514	0.00544271876572233	0.0024412588985863	0.00194383771078006	0.00198565736294798	0.00353648791608955	0.0107339879706662	1.13810483094909
878.5709	PC	(22:6/22:6)	0.0610239464404345	0.0601591203256878	0.0690144731155902	0.0606777518163982	0.0886052362297455	0.0870618007058091	0.0934890060109816	0.000243411330128481	0.00187339791581027	-0.516509926570473
788.6186	PC	(18:0/18:1)	1.03670148693595	1.08149601719935	0.986899441091341	0.947451358956338	0.468929184648028	0.502443666737914	0.497875516764721	0.000116581187159129	0.00128837158116883	1.04871358674053
834.603	PC	(18:0/22:6)	0.530643562968627	0.525671641399112	0.528817638823169	0.488958828597031	0.396280288221785	0.421281319470414	0.425671296462458	0.000623885492942601	0.00344736727510591	0.323345568667204
