m.z	class	FattyAcid	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
762.5062	PE	(18:1/20:5)	0.00442809108976931	0.003961099246694	0.00412129952235219	0.00348466173845156	0.00334230988753278	0.00332784779980443	0.00357674620927973	0.0193231619746409	0.0677096163501644	0.280679652878979
790.5386	PE	(18:1/22:5)	0.127066811113274	0.11907494095679	0.125518243662737	0.0907554780998769	0.0934744812454027	0.0744792929110863	0.0929189998638179	0.00145881628665352	0.0219527204394515	0.494969918135521
788.5238	PE	(18:1/22:6)	1.08754239365405	1.06751784331733	1.11410324354321	0.856829581422723	0.84169274648575	0.802488648835206	0.880039452798557	8.52243189810096e-05	0.00441519914125337	0.366487488109261
604.436	PE	(16:1e/11:0)	0.000508655537493034	0.000445520833056368	0.000630382275277122	0.000441087386951065	0.000589753278317427	0.000502594010788788	0.000536936708354354	0.875412074004832	0.922500254024651	0.0292289729182475
744.4992	PE	(16:2e/22:6)	0.0093861686767541	0.0113100077132705	0.0113644962004459	0.010062067596362	0.00956310827905571	0.0103255712465456	0.00989901688782278	0.381925616260417	0.519274260593817	0.101271010316743
784.493	PE	(18:3/22:6)	0.0303585792872781	0.0131136922597572	0.0150233373095104	0.0232230590890531	0.0193742939995329	0.0208531207413866	0.0200598169568045	0.825160609086021	0.895829275859131	-0.098588160702354
810.5087	PE	(20:4/22:6)	0.0489525669774923	0.0455484953299153	0.044174038561871	0.0398897887920633	0.0351890753382726	0.0383700074634948	0.0371541876103948	0.0087254183623329	0.0442430036960645	0.295995198314869
672.4995	PE	(16:1e/16:1)	0.00163686861069278	0.00163363148538637	0.00203098120287175	0.00169187688884521	0.00220395970265897	0.00237328707268926	0.00228675873341544	0.125222331191056	0.235680457394521	-0.275483630509245
748.5303	PE	(16:1e/22:5)	0.147476241442978	0.160717371215117	0.17012485370878	0.124007891875591	0.139351370066927	0.123911286895455	0.135664083937879	0.0264815001908617	0.0871261571164992	0.286378369809552
702.5098	PE	(15:0/18:1)	0.0113141771125866	0.0103551483428619	0.0098123976758134	0.00754032293814124	0.00773663516085406	0.00871562011416857	0.00772560911829416	0.0111372614281036	0.0495423494719326	0.404241682690206
