m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
688.4932	PE	(16:0/16:1)	0.01138619035206	0.0119564669667171	0.00770180348390898	0.0129777599719411	0.051747503542087	0.0562600153563846	0.0567308991369898	2.74217873778272e-05	0.00035444737616331	-2.31891070779486
774.5462	PE	(18:2e/22:5)	0.0165176713315431	0.0179496175557671	0.0217501650343732	0.0185294228669973	0.0175459304228858	0.0195316081928475	0.0197866957882519	0.846641756163183	0.858594345661957	-0.0205457335675205
762.5084	PE	(16:0/22:6)	0.295874324466621	0.324285900252296	0.241292273091357	0.312709515373104	1.41923294791668	1.58752716917279	1.6303762160974	0.00137241806858778	0.00347013345276651	-2.3966401541964
688.4934	PE	(18:1/14:0)	0.0008317948737552	0.00101212634419182	0.000396421943257876	0.00100382962168983	0.00286371566180219	0.00294614682849965	0.00281482073110455	0.000408063568560994	0.00162847590786841	-1.82565830908636
740.5242	PE	(18:1/18:2)	0.0326622575014568	0.033338097176503	0.0364446927969508	0.0337882688222994	0.0330889851843407	0.0251683074761538	0.0275623639025799	0.133642813958426	0.158241903340884	0.25166203017882
690.509	PE	(16:0/16:0)	0.000267161732869446	0.00037621762740198	0.000134468745824271	0.000410956436708523	0.0184220440064395	0.0174351612336421	0.0186791765819597	0.000327197818802856	0.00148439184100187	-5.93467304900373
744.5559	PE	(18:0/18:1)	0.156395857274445	0.168190179509855	0.144812929687994	0.158261706360741	0.118065225081159	0.127342985489096	0.127903073611287	0.00272053437234632	0.00547065322118967	0.334568199881711
834.5088	PE	(22:6/22:6)	0.0382697893700427	0.0422132028376894	0.031948176259189	0.0357208172607698	0.0710468331466134	0.0937981528597819	0.0915078664313782	0.0152689590910768	0.0217911303584573	-1.20609048664428
790.5407	PE	(18:0/22:6)	0.921667645152932	1.04507223696658	0.916900565709021	1.0033336858753	0.744366413094857	0.768120516584469	0.773672210319014	0.00487241333749948	0.00864201707186121	0.350684174517287
734.4783	PE	(14:0/22:6)	0.00274236395038906	0.0032869979766435	0.0021809297288681	0.00321474312282163	0.0134928761112742	0.0143544638547273	0.0143167052141076	2.10463590113722e-06	0.000159453138465856	-2.29885222677326
760.4929	PE	(16:1/22:6)	0.0198778379127073	0.0216669131939456	0.0164561693399747	0.0194616121655523	0.0500040049802773	0.0506730887588452	0.0531381384254375	3.68846295431e-06	0.000159453138465856	-1.40466530256947
776.5629	PE	(18:1e/22:5)	0.0104026720150706	0.0118411047107647	0.0122160262475603	0.0136332282972816	0.00721150087666881	0.00811247056442398	0.00788714549912704	0.00420112178193761	0.00760791381518954	0.635974413716171
764.5245	PE	(18:0/20:5)	0.227071131940002	0.256541765905801	0.190651348286264	0.250848447497858	0.107300749354253	0.11559587425931	0.112410396342649	0.0035447477800336	0.00666821936014774	1.04910893297792
722.5151	PE	(16:1e/20:4)	0.061069059155749	0.0674755562070188	0.0694503918325859	0.0702893033950703	0.020645090618019	0.0205075695067982	0.0205400263170841	0.000196598076707653	0.00114505096028376	1.70555381251445
648.462	PE	(11:0/18:0)	0.00454922712277924	0.00499124497219772	0.00526157129121797	0.00471413520811927	0.000621923214076037	0.000648711655130376	0.000704072121333975	8.32947018582925e-05	0.000710835742079188	2.88992258597828
710.4777	PE	(18:4/16:0)	0.0005832923585273	0.000636654881943664	0.000294819858042319	0.00057186799145399	0.00271087773383457	0.00271087228834386	0.00260907226464047	1.23102446832001e-05	0.000246529458361397	-2.35940688955293
738.5094	PE	(16:0/20:4)	0.020560241067916	0.0232639082447155	0.0196420063291438	0.0231740717513307	0.0438071333712001	0.0478883660907609	0.0469513853498372	8.83655867144725e-05	0.000731285101799557	-1.09334376630584
714.5091	PE	(16:1/18:1)	0.0333343613035587	0.0357818111921723	0.0310426110736866	0.0363133090223811	0.059318324049037	0.0549965657220053	0.0581030330452412	7.04595263321649e-05	0.000650052448906823	-0.752341287260967
792.5557	PE	(18:0/22:5)	0.114571051479284	0.13319215325108	0.117526650820044	0.126425293937349	0.0814675154836253	0.0832591664943203	0.0842103906460239	0.0020245420374678	0.00449782277396197	0.567004207479794
800.6202	PE	(18:1/22:0)	0.00497586651592867	0.00585672631360063	0.00559870450349323	0.00551133695970982	0.00257650690723899	0.00263368891300711	0.00249609737548276	0.000361217782186311	0.00151150353516796	1.09459025630292
748.4923	PE	(15:0/22:6)	0.00117421642799526	0.00132736666111639	0.00035447776153911	0.00106944049567861	0.00718542625946743	0.00722878829412892	0.00697850784466949	2.10126785807568e-05	0.000301882148943539	-2.86120876314499
756.5583	PE	(19:1/18:1)	0.00223566673721244	0.00244800839031425	0.00260503117781466	0.0025485323816144	0.00261740047226219	0.00238403295249796	0.0023299765662905	0.902582285330597	0.91103738870606	0.00912522162852488
820.5882	PE	(20:0/22:5)	0.00690046137876846	0.00759764199671407	0.00777786051771833	0.00795581004984773	0.00431105766455909	0.00383935111239212	0.00399407115212182	7.78698155520443e-05	0.000695802554975607	0.900727426941368
620.4307	PE	(11:0/16:0)	0.000510504802713476	0.000468752022291839	0.000441172398276043	0.000628121547845813	0.000482958799032861	0.000497682504977405	0.000642406447630244	0.680590853211715	0.703440426221221	-0.079139296371868
720.4986	PE	(16:1e/20:5)	0.183806014289394	0.217420985466388	0.143662613432438	0.219373718607887	0.082228773365027	0.111801073364017	0.0972299512932512	0.00783530838702998	0.0126480071715727	0.976725731343917
686.5148	PE	(16:1e/17:1)	0.00609799929711337	0.00666270945374578	0.00525367812050874	0.00682558869745901	0.00254037102253862	0.0026899601161478	0.00245373026796423	0.00151115000199203	0.00371834391496518	1.27768530196749
766.5411	PE	(18:0/20:4)	0.112151781827779	0.120549793591765	0.124329939938677	0.119620068000757	0.0461836853489145	0.0445016506615364	0.0442607577444181	4.35949642938427e-05	0.000465451627900983	1.40551437339511
728.5257	PE	(17:1/18:1)	0.00511704715674292	0.00571917576671754	0.00654705153626673	0.00572484457726158	0.0112804962096299	0.00971107942069003	0.00940784154512593	0.00662846479440243	0.0111162191688228	-0.810681331961514
808.4941	PE	(20:5/22:6)	0.00655359049797467	0.00737168038176013	0.0051312580786434	0.00594379302764757	0.0123052108541716	0.018252112579232	0.0161237125835944	0.0262873665016578	0.0357408673886893	-1.31592740330244
662.4776	PE	(16:0/14:0)	0	0	0	0	0.00834387750443618	0.00931071859363087	0.00869110733067639	0.00103518367897786	0.00293529056341748	-Inf
716.5246	PE	(16:0/18:1)	0.0164219119951605	0.018213373303396	0.0138067287700737	0.0176563824443838	0.0263550253686589	0.0278208799711053	0.0278880068451877	0.000402228871292777	0.00162019293016063	-0.727170158218877
736.4938	PE	(16:0/20:5)	0.036014152889009	0.0393122812885035	0.027298782947142	0.0372890821634802	0.0545666521457909	0.0607861678748478	0.0602372523107708	0.0008755140963945	0.00263878724158063	-0.742705364122286
746.5135	PE	(16:1e/22:6)	1.01256427038865	1.16469924654261	1.00744676897953	1.16190580829777	1.08629261753104	1.19041004435375	1.21292670480673	0.251384852090621	0.278526661313773	-0.0982186370882656
712.4936	PE	(16:0/18:3)	0.00272332224546228	0.00240698665953207	0.00428982115720936	0.00303726622330081	0.0112332719456178	0.00515334972579698	0.00598306419581786	0.144523755207065	0.169093044722582	-1.25957993349419
686.4774	PE	(14:0/18:2)	0.000219436487344407	0.000186652841385338	4.6445462830727e-05	0.000188566430835392	0.00286579547096757	0.00268329242840401	0.0028242476198029	4.01682534847394e-06	0.000159453138465856	-4.12221586964792
772.5298	PE	(18:2e/22:6)	0.134319441116568	0.144814410944869	0.15862275519705	0.138183511545168	0.199111154095211	0.223935597038349	0.22450913913042	0.00297698950193427	0.0057796507897913	-0.584123395123664
770.5716	PE	(20:1/18:1)	0.0382438441077693	0.0410869429724109	0.0403670814231261	0.0398957328379622	0.0278426714849651	0.0241143074828045	0.0250343602471274	0.00122335389699044	0.0032318830579317	0.636597240081249
718.5405	PE	(18:0/16:0)	0.00390470223198425	0.00443032544020793	0.00421799930046622	0.0042136270220835	0.0240968042982388	0.0242057843002076	0.0249171796166126	1.53652611548924e-05	0.000246529458361397	-2.54167589697637
698.5137	PE	(16:1e/18:2)	0.0184040490266967	0.0185423767729253	0.0187862072851278	0.0192901949868735	0.00553282721609857	0.00420370846149597	0.00643448555573033	0.00110998624109446	0.00306669275584432	1.79888135793696
829.7137	SM	(d19:0/24:1)	0.00313476990536203	0.00315637519935069	0.0047607957179803	0.0039724568864133	0.00086046683235395	0.000627552773191177	0.000686290959738423	0.00364218015304925	0.00676629157743202	2.37363973277358
787.6717	SM	(d18:1/22:0)	0.287276643013082	0.314601589851074	0.333917384202434	0.310695064657462	0.0908986581394541	0.0940025670065389	0.0984949697242133	0.000103039521502333	0.000752712436737379	1.72194230597834
797.6546	SM	(d18:1/23:2)	0.00190465779655963	0.00203248821384078	0.00254344123996084	0.00197967618310297	0.000378426685245247	0.000853944170755727	0.00086115313813734	0.00170379733476748	0.00401276858625565	1.59973163394576
