"LipidIon"	"FattyAcid"	"Class"	"nfur.PreD.Y.1"	"nfur.PreD.Y.2"	"nfur.PreD.Y.3"	"nfur.PreD.Y.4"	"nfur.NonD.2"	"nfur.NonD.3"	"nfur.NonD.4"	"nfur.D6d.1"	"nfur.D6d.2"	"nfur.D6d.3"	"nfur.D6d.4"	"nfur.D1m.1"	"nfur.D1m.2"	"nfur.D1m.3"	"nfur.D1m.4"	"Ast.PreD.Y.1"	"Ast.PreD.Y.2"	"Ast.PreD.Y.3"	"Ast.PreD.Y.4"	"nfur.Dexit.1"	"nfur.Dexit.2"	"nfur.Dexit.3"	"nfur.Dexit.4"
"TG(20:0/22:6/22:6)+NH4"	"(20:0/22:6/22:6)"	"TG"	0.013600747750834	0.00450696336133533	0.00197255867030354	0.00665337739781938	0.00271489772188085	0.00420192265056492	0.00410838755906224	0.0264539439598895	0.00940311037426934	0.0185079532577042	0.0352188398522608	0.020351798230166	0.0203152605507978	0.0142217648774384	0.0219496971185358	0.000836968664247967	0.000764987121303629	0.00115376444860041	0.00110822374602063	0.00340474835875615	0.00476783332902911	0.00414603981803674	0.0044527268882778
"TG(16:0/18:1/18:1)+NH4"	"(16:0/18:1/18:1)"	"TG"	0.322866611637756	0.101079613331012	0.181248636812866	0.268465572466661	0.0476291101590905	0.0604516374145145	0.0527113453382239	0.318241331599717	0.0934394178778028	0.308287723391279	0.503703512227402	0.195395485410411	0.193123644239393	0.16376605439585	0.216550432625524	0.0359480374353521	0.0546402937574467	0.040869844387608	0.0377228915973545	0.0545438175306516	0.0725481815229915	0.063635008273869	0.0687579306426617
"TG(18:4/16:1/18:3)+NH4"	"(18:4/16:1/18:3)"	"TG"	0.0438106154801913	0.0168600013608722	0.0217525335929467	0.0565480203200543	0.00476703958059069	0.00502308971713933	0.00345425839845719	0.0324346405416302	0.00685801871962211	0.0298013260102129	0.0731242287309014	0.019509299424073	0.0238736858335713	0.0176773824778258	0.0217963037830917	0.000807240476378166	0.00054628995854202	0.00037429539357611	0.00118371620743696	0.0051711356760361	0.00571651533792511	0.0065268630627001	0.00630918703710051
"TG(16:0/18:1/22:1)+NH4"	"(16:0/18:1/22:1)"	"TG"	0.0145747147494418	0.00440376398869957	0.00376656541678863	0.0090779712252506	0.00145036408259961	0.00206377006914383	0.00182989568109323	0.0139789193809362	0.00632507596392623	0.0130571942033982	0.0230229358622215	0.0132984201865284	0.0113168451067698	0.0116047329316472	0.0128242852386541	0.0039454930322723	0.00457229241010882	0.00460746267807207	0.00423183682728631	0.00295528832328721	0.00375089200695926	0.0027135696955225	0.00290775961824437
"TG(22:5/18:2/22:6)+NH4| TG(18:1/22:6/22:6)+NH4"	"(18:1/22:6/22:6)"	"TG"	0.193499084505956	0.0805985007263863	0.0880133919361663	0.16097923962479	0.0599035006799731	0.0635230314198428	0.0597607005303891	0.327933467828414	0.133820583990712	0.310081469154303	0.462857423918534	0.2304727898121	0.254903941440191	0.175595277680276	0.262704634060742	0.0228835133660052	0.0159027424231753	0.0168259174492803	0.0231717713712526	0.0547786288179427	0.0742339395575919	0.0584572800285372	0.076913203099975
"TG(18:1/17:1/22:6)+NH4"	"(18:1/17:1/22:6)"	"TG"	0.0393650803590378	0.014353431535114	0.0216260872858267	0.0366416827866172	0.00819228106072756	0.00818750026445438	0.00762406072280865	0.0522757241745595	0.0162177494053665	0.0471218688625709	0.0800496608926779	0.0306078051766134	0.0316926036024994	0.0271390030621023	0.0375794814318931	0.00206162206716238	0.00193546390384095	0.0018809516963716	0.00295003098701553	0.00788054927880123	0.00995606199662248	0.00944184743794899	0.0109157218106462
"TG(16:0/16:0/16:1)+NH4"	"(16:0/16:0/16:1)"	"TG"	0.267853615505176	0.0988872076366795	0.0941232985643167	0.220417811371363	0.0386686048401704	0.0533168975727159	0.0455784921504308	0.248385743864478	0.0713731339657985	0.256262377634649	0.398617790137679	0.175101538081092	0.176941388728078	0.106482949942982	0.172069336940287	0.0464469385127557	0.0424703928855111	0.043664476934971	0.0382149579569294	0.0408775477584743	0.055717504805563	0.0407756976730043	0.0540861032382242
"TG(16:1/18:1/22:5)+NH4| TG(16:0/18:1/22:6)+NH4"	"(16:0/18:1/22:6)"	"TG"	0.369397974268945	0.143883920344554	0.146099627313692	0.29194765863472	0.0854544710545839	0.0950769748527432	0.0957760287318121	0.63558093619805	0.198199841585374	0.501863177162813	0.822843153354674	0.398335258900615	0.388185250173855	0.255483177051737	0.464400390353743	0.036708687934124	0.0397779225446273	0.0378254186745811	0.0420975658295458	0.0749579300521634	0.103928816174448	0.0933089681935016	0.122170622272243
"TG(18:4/14:0/18:1)+NH4"	"(18:4/14:0/18:1)"	"TG"	0.0736172153396316	0.0288716382570693	0.0322001030673129	0.0824162548652328	0.00936074049780101	0.010091934389268	0.00772563411253695	0.070664993562378	0.0147189184527015	0.0578348861698138	0.132858499855989	0.0407978177903199	0.044835073395425	0.0318056938776001	0.0490834652249594	0.00374291477349226	0.00266355115630266	0.00289552130782436	0.00375847168977886	0.00934211938321993	0.0115641835660601	0.0121994667841194	0.012877963182418
"TG(16:0/18:1/20:5)+NH4| TG(16:0/16:0/22:6)+NH4"	"(16:0/18:1/20:5)"	"TG"	0.346825606226478	0.130728637719821	0.166747042407908	0.324611840068714	0.07104931548609	0.0853233044743221	0.0841694535826767	0.540617515491747	0.146364154980124	0.406874219426396	0.707676454454706	0.318165305417291	0.308693270503209	0.193453926539919	0.36924576769493	0.0382892479579743	0.0432657738584977	0.0411596854910711	0.0404233944223076	0.0606147370963336	0.0871669016725489	0.0779363761651944	0.0967822064318995
"TG(18:4/16:1/22:6)+NH4"	"(18:4/16:1/22:6)"	"TG"	0.0142072115733402	0.00586335674938743	0.00241620216163279	0.0107048064623087	0.00280731539762411	0.00436871979270641	0.00348387384501981	0.0179261605835928	0.00330049755366316	0.0118911054073353	0.0306325214099555	0.0115602207379828	0.0133886225689264	0.00515295575008033	0.0132981516468204	0.00100891702018162	0.000811503779845676	0.00121348320030293	0.00115267205600131	0.00289663808035879	0.00393779761732629	0.00364642671905321	0.00419381473788126
"TG(18:4/16:1/18:1)+NH4"	"(18:4/16:1/18:1)"	"TG"	0.285939987802635	0.110843804743843	0.14451373373992	0.309560186172993	0.0455744903710702	0.0524460391954608	0.0468358108793948	0.345153098480437	0.0658958388205781	0.266196066791459	0.538276117211676	0.197602540957336	0.204027801228131	0.132637095450996	0.240379887691627	0.014739891433698	0.0141743164975757	0.0123310740455365	0.018312200472459	0.0393027742112121	0.0527499847730403	0.0510556710041718	0.0607166771335543
